holiday_date,name,local_name
2023-01-01,New Year's Day,Lá Caille
2023-02-06,Saint Brigid's Day,Lá Fhéile Bríde
2023-03-17,Saint Patrick's Day,Lá Fhéile Pádraig
2023-04-07,Good Friday,Aoine an Chéasta
2023-04-10,Easter Monday,Luan Cásca
2023-05-01,May Day,Lá Bealtaine
2023-06-05,June Holiday,Lá Saoire i mí an Mheithimh
2023-08-07,August Holiday,Lá Saoire i mí Lúnasa
2023-10-30,October Holiday,Lá Saoire i mí Dheireadh Fómhair
2023-12-25,Christmas Day,Lá Nollag
2023-12-26,St. Stephen's Day,Lá Fhéile Stiofáin
2024-01-01,New Year's Day,Lá Caille
2024-02-05,Saint Brigid's Day,Lá Fhéile Bríde
2024-03-17,Saint Patrick's Day,Lá Fhéile Pádraig
2024-03-29,Good Friday,Aoine an Chéasta
2024-04-01,Easter Monday,Luan Cásca
2024-05-06,May Day,Lá Bealtaine
2024-06-03,June Holiday,Lá Saoire i mí an Mheithimh
2024-08-05,August Holiday,Lá Saoire i mí Lúnasa
2024-10-28,October Holiday,Lá Saoire i mí Dheireadh Fómhair
2024-12-25,Christmas Day,Lá Nollag
2024-12-26,St. Stephen's Day,Lá Fhéile Stiofáin
2025-01-01,New Year's Day,Lá Caille
2025-02-03,Saint Brigid's Day,Lá Fhéile Bríde
2025-03-17,Saint Patrick's Day,Lá Fhéile Pádraig
2025-04-18,Good Friday,Aoine an Chéasta
2025-04-21,Easter Monday,Luan Cásca
2025-05-05,May Day,Lá Bealtaine
2025-06-02,June Holiday,Lá Saoire i mí an Mheithimh
2025-08-04,August Holiday,Lá Saoire i mí Lúnasa
2025-10-27,October Holiday,Lá Saoire i mí Dheireadh Fómhair
2025-12-25,Christmas Day,Lá Nollag
2025-12-26,St. Stephen's Day,Lá Fhéile Stiofáin
2026-01-01,New Year's Day,Lá Caille
2026-02-02,Saint Brigid's Day,Lá Fhéile Bríde
2026-03-17,Saint Patrick's Day,Lá Fhéile Pádraig
2026-04-03,Good Friday,Aoine an Chéasta
2026-04-06,Easter Monday,Luan Cásca
2026-05-04,May Day,Lá Bealtaine
2026-06-01,June Holiday,Lá Saoire i mí an Mheithimh
2026-08-03,August Holiday,Lá Saoire i mí Lúnasa
2026-10-26,October Holiday,Lá Saoire i mí Dheireadh Fómhair
2026-12-25,Christmas Day,Lá Nollag
2026-12-26,St. Stephen's Day,Lá Fhéile Stiofáin
