report_date,region,hospital,ed_trolleys,ward_trolleys,total_trolleys,is_total,surge_capacity,delayed_transfers,waiting_24h,waiting_24h_75plus
2023-01-01,HSE Dublin & Midlands,MRH Mullingar,11,0,11,False,11.0,1.0,1.0,
2023-01-01,HSE Dublin & Midlands,MRH Portlaoise,8,0,8,False,0.0,5.0,,
2023-01-01,HSE Dublin & Midlands,MRH Tullamore,6,0,6,False,9.0,5.0,,
2023-01-01,HSE Dublin & Midlands,Naas General Hospital,15,0,15,False,0.0,14.0,5.0,
2023-01-01,HSE Dublin & Midlands,St Luke's General Hospital Kilkenny,11,0,11,False,15.0,8.0,8.0,
2023-01-01,HSE Dublin & Midlands,St. James's Hospital,24,0,24,False,0.0,62.0,5.0,
2023-01-01,HSE Dublin & Midlands,St. Vincent's University Hospital,33,0,33,False,0.0,44.0,10.0,
2023-01-01,HSE Dublin & Midlands,Tallaght University Hospital,21,0,21,False,0.0,42.0,4.0,
2023-01-01,HSE Dublin & Midlands,Tipperary University Hospital,6,0,6,False,21.0,2.0,1.0,
2023-01-01,HSE Dublin & North East,Cavan General Hospital,14,1,15,False,8.0,4.0,,
2023-01-01,HSE Dublin & North East,CHI at Crumlin,4,0,4,False,,,,
2023-01-01,HSE Dublin & North East,CHI at Tallaght,0,0,0,False,,0.0,,
2023-01-01,HSE Dublin & North East,Connolly Hospital,7,0,7,False,33.0,9.0,,
2023-01-01,HSE Dublin & North East,Mater Misericordiae University Hospital,38,0,38,False,0.0,36.0,5.0,
2023-01-01,HSE Dublin & North East,Our Lady of Lourdes Hospital,17,1,18,False,16.0,38.0,,
2023-01-01,HSE Dublin & North East,Our Lady's Hospital Navan,3,0,3,False,17.0,4.0,,
2023-01-01,HSE Dublin & South East,Cork University Hospital,31,0,31,False,24.0,22.0,2.0,
2023-01-01,HSE Dublin & South East,Galway University Hospital,28,2,30,False,13.0,20.0,4.0,
2023-01-01,HSE Dublin & South East,Letterkenny University Hospital,15,0,15,False,14.0,22.0,3.0,
2023-01-01,HSE Dublin & South East,Mercy University Hospital,25,0,25,False,8.0,19.0,11.0,
2023-01-01,HSE Dublin & South East,UH Kerry,23,0,23,False,0.0,12.0,5.0,
2023-01-01,HSE Dublin & South East,UH Limerick,36,12,48,False,37.0,19.0,14.0,
2023-01-01,HSE Dublin & South East,Wexford General Hospital,13,1,14,False,21.0,12.0,1.0,
2023-01-01,HSE West & North West,Portiuncula University Hospital,9,0,9,False,13.0,4.0,1.0,
2023-01-01,HSE West & North West,Sligo University Hospital,26,0,26,False,7.0,10.0,9.0,
2023-01-01,National Total,National Total,444,22,466,True,345.0,467.0,100.0,
2023-01-02,HSE Dublin & Midlands,MRH Mullingar,10,0,10,False,11.0,1.0,,
2023-01-02,HSE Dublin & Midlands,MRH Portlaoise,6,0,6,False,11.0,5.0,,
2023-01-02,HSE Dublin & Midlands,MRH Tullamore,11,0,11,False,18.0,5.0,,
2023-01-02,HSE Dublin & Midlands,Naas General Hospital,31,0,31,False,7.0,14.0,11.0,
2023-01-02,HSE Dublin & Midlands,St Luke's General Hospital Kilkenny,12,6,18,False,21.0,8.0,4.0,
2023-01-02,HSE Dublin & Midlands,St. James's Hospital,23,0,23,False,0.0,62.0,3.0,
2023-01-02,HSE Dublin & Midlands,St. Vincent's University Hospital,48,0,48,False,0.0,44.0,14.0,
2023-01-02,HSE Dublin & Midlands,Tallaght University Hospital,22,0,22,False,0.0,42.0,6.0,
2023-01-02,HSE Dublin & Midlands,Tipperary University Hospital,8,0,8,False,27.0,2.0,1.0,
2023-01-02,HSE Dublin & North East,Cavan General Hospital,25,2,27,False,10.0,4.0,3.0,
2023-01-02,HSE Dublin & North East,CHI at Crumlin,3,0,3,False,,,,
2023-01-02,HSE Dublin & North East,CHI at Tallaght,0,0,0,False,,0.0,,
2023-01-02,HSE Dublin & North East,Connolly Hospital,11,0,11,False,39.0,9.0,,
2023-01-02,HSE Dublin & North East,Mater Misericordiae University Hospital,41,0,41,False,0.0,36.0,17.0,
2023-01-02,HSE Dublin & North East,Our Lady of Lourdes Hospital,21,3,24,False,30.0,38.0,3.0,
2023-01-02,HSE Dublin & North East,Our Lady's Hospital Navan,1,0,1,False,20.0,4.0,,
2023-01-02,HSE Dublin & South East,Cork University Hospital,33,0,33,False,21.0,22.0,8.0,
2023-01-02,HSE Dublin & South East,Galway University Hospital,27,6,33,False,22.0,20.0,6.0,
2023-01-02,HSE Dublin & South East,Letterkenny University Hospital,38,0,38,False,0.0,22.0,9.0,
2023-01-02,HSE Dublin & South East,Mercy University Hospital,29,0,29,False,10.0,19.0,17.0,
2023-01-02,HSE Dublin & South East,UH Kerry,28,0,28,False,12.0,12.0,11.0,
2023-01-02,HSE Dublin & South East,UH Limerick,48,24,72,False,72.0,19.0,20.0,
2023-01-02,HSE Dublin & South East,Wexford General Hospital,20,4,24,False,25.0,12.0,2.0,
2023-01-02,HSE West & North West,Portiuncula University Hospital,13,0,13,False,16.0,4.0,4.0,
2023-01-02,HSE West & North West,Sligo University Hospital,34,0,34,False,7.0,10.0,22.0,
2023-01-02,National Total,National Total,574,50,624,True,455.0,467.0,167.0,
2023-01-03,HSE Dublin & Midlands,MRH Mullingar,20,0,20,False,15.0,1.0,1.0,
2023-01-03,HSE Dublin & Midlands,MRH Portlaoise,12,0,12,False,11.0,5.0,1.0,
2023-01-03,HSE Dublin & Midlands,MRH Tullamore,5,0,5,False,28.0,5.0,,
2023-01-03,HSE Dublin & Midlands,Naas General Hospital,27,0,27,False,14.0,14.0,12.0,
2023-01-03,HSE Dublin & Midlands,St Luke's General Hospital Kilkenny,21,6,27,False,22.0,8.0,16.0,
2023-01-03,HSE Dublin & Midlands,St. James's Hospital,37,0,37,False,0.0,62.0,8.0,
2023-01-03,HSE Dublin & Midlands,St. Vincent's University Hospital,55,0,55,False,0.0,44.0,25.0,
2023-01-03,HSE Dublin & Midlands,Tallaght University Hospital,33,0,33,False,0.0,42.0,6.0,
2023-01-03,HSE Dublin & Midlands,Tipperary University Hospital,18,0,18,False,28.0,2.0,5.0,
2023-01-03,HSE Dublin & North East,Cavan General Hospital,12,2,14,False,3.0,4.0,3.0,
2023-01-03,HSE Dublin & North East,CHI at Crumlin,8,0,8,False,,,,
2023-01-03,HSE Dublin & North East,CHI at Tallaght,6,0,6,False,,0.0,1.0,
2023-01-03,HSE Dublin & North East,Connolly Hospital,21,0,21,False,42.0,9.0,4.0,
2023-01-03,HSE Dublin & North East,Mater Misericordiae University Hospital,44,0,44,False,0.0,36.0,11.0,
2023-01-03,HSE Dublin & North East,Our Lady of Lourdes Hospital,30,3,33,False,26.0,38.0,4.0,
2023-01-03,HSE Dublin & North East,Our Lady's Hospital Navan,10,0,10,False,17.0,4.0,,
2023-01-03,HSE Dublin & South East,Cork University Hospital,52,0,52,False,8.0,22.0,19.0,
2023-01-03,HSE Dublin & South East,Galway University Hospital,45,7,52,False,0.0,20.0,17.0,
2023-01-03,HSE Dublin & South East,Letterkenny University Hospital,28,13,41,False,11.0,22.0,19.0,
2023-01-03,HSE Dublin & South East,Mercy University Hospital,31,0,31,False,11.0,19.0,17.0,
2023-01-03,HSE Dublin & South East,UH Kerry,40,0,40,False,14.0,12.0,19.0,
2023-01-03,HSE Dublin & South East,UH Limerick,44,32,76,False,42.0,15.0,23.0,
2023-01-03,HSE Dublin & South East,Wexford General Hospital,29,6,35,False,40.0,12.0,8.0,
2023-01-03,HSE West & North West,Portiuncula University Hospital,-6,16,10,False,16.0,4.0,2.0,
2023-01-03,HSE West & North West,Sligo University Hospital,18,18,36,False,12.0,10.0,21.0,
2023-01-03,National Total,National Total,692,112,804,True,443.0,463.0,253.0,
2023-01-04,HSE Dublin & Midlands,MRH Mullingar,7,0,7,False,0.0,0.0,,
2023-01-04,HSE Dublin & Midlands,MRH Portlaoise,6,0,6,False,11.0,5.0,,
2023-01-04,HSE Dublin & Midlands,MRH Tullamore,3,0,3,False,22.0,4.0,,
2023-01-04,HSE Dublin & Midlands,Naas General Hospital,21,4,25,False,13.0,14.0,7.0,
2023-01-04,HSE Dublin & Midlands,St Luke's General Hospital Kilkenny,18,6,24,False,26.0,8.0,15.0,
2023-01-04,HSE Dublin & Midlands,St. James's Hospital,39,0,39,False,0.0,59.0,13.0,
2023-01-04,HSE Dublin & Midlands,St. Vincent's University Hospital,40,0,40,False,27.0,49.0,20.0,
2023-01-04,HSE Dublin & Midlands,Tallaght University Hospital,40,0,40,False,6.0,43.0,11.0,
2023-01-04,HSE Dublin & Midlands,Tipperary University Hospital,14,0,14,False,29.0,2.0,6.0,
2023-01-04,HSE Dublin & North East,Cavan General Hospital,17,2,19,False,8.0,3.0,,
2023-01-04,HSE Dublin & North East,CHI at Crumlin,6,0,6,False,,,,
2023-01-04,HSE Dublin & North East,CHI at Tallaght,2,0,2,False,,0.0,,
2023-01-04,HSE Dublin & North East,Connolly Hospital,8,0,8,False,43.0,9.0,,
2023-01-04,HSE Dublin & North East,Mater Misericordiae University Hospital,43,0,43,False,0.0,41.0,14.0,
2023-01-04,HSE Dublin & North East,Our Lady of Lourdes Hospital,16,1,17,False,25.0,36.0,,
2023-01-04,HSE Dublin & North East,Our Lady's Hospital Navan,16,0,16,False,17.0,4.0,3.0,
2023-01-04,HSE Dublin & South East,Cork University Hospital,43,3,46,False,26.0,22.0,12.0,
2023-01-04,HSE Dublin & South East,Galway University Hospital,27,7,34,False,10.0,20.0,6.0,
2023-01-04,HSE Dublin & South East,Letterkenny University Hospital,18,11,29,False,14.0,22.0,5.0,
2023-01-04,HSE Dublin & South East,Mercy University Hospital,19,0,19,False,11.0,17.0,7.0,
2023-01-04,HSE Dublin & South East,UH Kerry,25,0,25,False,14.0,17.0,9.0,
2023-01-04,HSE Dublin & South East,UH Limerick,20,23,43,False,45.0,14.0,5.0,
2023-01-04,HSE Dublin & South East,Wexford General Hospital,24,7,31,False,41.0,13.0,11.0,
2023-01-04,HSE West & North West,Portiuncula University Hospital,-6,15,9,False,15.0,4.0,,
2023-01-04,HSE West & North West,Sligo University Hospital,21,23,44,False,14.0,10.0,19.0,
2023-01-04,National Total,National Total,533,112,645,True,531.0,467.0,174.0,
2023-01-05,HSE Dublin & Midlands,MRH Mullingar,6,0,6,False,11.0,1.0,,
2023-01-05,HSE Dublin & Midlands,MRH Portlaoise,0,0,0,False,11.0,6.0,,
2023-01-05,HSE Dublin & Midlands,MRH Tullamore,0,0,0,False,18.0,5.0,,
2023-01-05,HSE Dublin & Midlands,Naas General Hospital,15,4,19,False,13.0,14.0,7.0,
2023-01-05,HSE Dublin & Midlands,St Luke's General Hospital Kilkenny,16,6,22,False,22.0,8.0,13.0,
2023-01-05,HSE Dublin & Midlands,St. James's Hospital,38,0,38,False,0.0,58.0,7.0,
2023-01-05,HSE Dublin & Midlands,St. Vincent's University Hospital,21,0,21,False,24.0,49.0,6.0,
2023-01-05,HSE Dublin & Midlands,Tallaght University Hospital,37,0,37,False,0.0,43.0,14.0,
2023-01-05,HSE Dublin & Midlands,Tipperary University Hospital,10,0,10,False,26.0,2.0,3.0,
2023-01-05,HSE Dublin & North East,Cavan General Hospital,10,1,11,False,6.0,3.0,3.0,
2023-01-05,HSE Dublin & North East,CHI at Crumlin,7,0,7,False,,,,
2023-01-05,HSE Dublin & North East,CHI at Tallaght,1,0,1,False,,0.0,,
2023-01-05,HSE Dublin & North East,Connolly Hospital,1,0,1,False,39.0,9.0,,
2023-01-05,HSE Dublin & North East,Mater Misericordiae University Hospital,18,0,18,False,0.0,41.0,6.0,
2023-01-05,HSE Dublin & North East,Our Lady of Lourdes Hospital,21,0,21,False,20.0,41.0,,
2023-01-05,HSE Dublin & North East,Our Lady's Hospital Navan,0,0,0,False,22.0,4.0,,
2023-01-05,HSE Dublin & South East,Cork University Hospital,34,3,37,False,27.0,22.0,12.0,
2023-01-05,HSE Dublin & South East,Galway University Hospital,25,10,35,False,41.0,20.0,11.0,
2023-01-05,HSE Dublin & South East,Letterkenny University Hospital,22,13,35,False,25.0,24.0,6.0,
2023-01-05,HSE Dublin & South East,Mercy University Hospital,17,0,17,False,8.0,16.0,3.0,
2023-01-05,HSE Dublin & South East,UH Kerry,18,0,18,False,14.0,18.0,5.0,
2023-01-05,HSE Dublin & South East,UH Limerick,14,23,37,False,36.0,18.0,1.0,
2023-01-05,HSE Dublin & South East,Wexford General Hospital,12,3,15,False,27.0,12.0,3.0,
2023-01-05,HSE West & North West,Portiuncula University Hospital,-5,16,11,False,16.0,4.0,,
2023-01-05,HSE West & North West,Sligo University Hospital,12,12,24,False,8.0,10.0,12.0,
2023-01-05,National Total,National Total,393,102,495,True,500.0,477.0,121.0,
2023-01-06,HSE Dublin & Midlands,MRH Mullingar,7,0,7,False,10.0,0.0,,
2023-01-06,HSE Dublin & Midlands,MRH Portlaoise,0,0,0,False,9.0,6.0,,
2023-01-06,HSE Dublin & Midlands,MRH Tullamore,0,0,0,False,11.0,6.0,,
2023-01-06,HSE Dublin & Midlands,Naas General Hospital,24,4,28,False,10.0,14.0,10.0,
2023-01-06,HSE Dublin & Midlands,St Luke's General Hospital Kilkenny,21,5,26,False,17.0,10.0,11.0,
2023-01-06,HSE Dublin & Midlands,St. James's Hospital,34,0,34,False,0.0,56.0,8.0,
2023-01-06,HSE Dublin & Midlands,St. Vincent's University Hospital,22,0,22,False,28.0,55.0,5.0,
2023-01-06,HSE Dublin & Midlands,Tallaght University Hospital,14,0,14,False,0.0,40.0,5.0,
2023-01-06,HSE Dublin & Midlands,Tipperary University Hospital,1,0,1,False,14.0,4.0,,
2023-01-06,HSE Dublin & North East,Cavan General Hospital,4,2,6,False,4.0,5.0,2.0,
2023-01-06,HSE Dublin & North East,CHI at Crumlin,5,0,5,False,,,,
2023-01-06,HSE Dublin & North East,CHI at Tallaght,0,0,0,False,,0.0,,
2023-01-06,HSE Dublin & North East,Connolly Hospital,5,0,5,False,27.0,8.0,,
2023-01-06,HSE Dublin & North East,Mater Misericordiae University Hospital,18,0,18,False,0.0,39.0,2.0,
2023-01-06,HSE Dublin & North East,Our Lady of Lourdes Hospital,9,3,12,False,23.0,39.0,,
2023-01-06,HSE Dublin & North East,Our Lady's Hospital Navan,16,0,16,False,21.0,4.0,1.0,
2023-01-06,HSE Dublin & South East,Cork University Hospital,30,8,38,False,23.0,27.0,11.0,
2023-01-06,HSE Dublin & South East,Galway University Hospital,4,5,9,False,14.0,18.0,,
2023-01-06,HSE Dublin & South East,Letterkenny University Hospital,20,8,28,False,11.0,25.0,5.0,
2023-01-06,HSE Dublin & South East,Mercy University Hospital,11,0,11,False,14.0,11.0,3.0,
2023-01-06,HSE Dublin & South East,UH Kerry,19,0,19,False,14.0,24.0,5.0,
2023-01-06,HSE Dublin & South East,UH Limerick,20,14,34,False,36.0,17.0,6.0,
2023-01-06,HSE Dublin & South East,Wexford General Hospital,11,4,15,False,34.0,9.0,4.0,
2023-01-06,HSE West & North West,Portiuncula University Hospital,5,0,5,False,13.0,4.0,,
2023-01-06,HSE West & North West,Sligo University Hospital,14,11,25,False,8.0,12.0,6.0,
2023-01-06,National Total,National Total,346,74,420,True,416.0,488.0,94.0,
2023-01-07,HSE Dublin & Midlands,MRH Mullingar,9,0,9,False,12.0,1.0,,
2023-01-07,HSE Dublin & Midlands,MRH Portlaoise,13,0,13,False,10.0,6.0,,
2023-01-07,HSE Dublin & Midlands,MRH Tullamore,0,0,0,False,6.0,6.0,,
2023-01-07,HSE Dublin & Midlands,Naas General Hospital,15,3,18,False,10.0,14.0,8.0,
2023-01-07,HSE Dublin & Midlands,St Luke's General Hospital Kilkenny,14,0,14,False,12.0,9.0,6.0,
2023-01-07,HSE Dublin & Midlands,St. James's Hospital,17,0,17,False,0.0,56.0,1.0,
2023-01-07,HSE Dublin & Midlands,St. Vincent's University Hospital,20,0,20,False,0.0,53.0,3.0,
2023-01-07,HSE Dublin & Midlands,Tallaght University Hospital,6,0,6,False,0.0,31.0,,
2023-01-07,HSE Dublin & Midlands,Tipperary University Hospital,4,0,4,False,25.0,4.0,,
2023-01-07,HSE Dublin & North East,Cavan General Hospital,5,1,6,False,7.0,5.0,,
2023-01-07,HSE Dublin & North East,CHI at Crumlin,1,0,1,False,,,,
2023-01-07,HSE Dublin & North East,CHI at Tallaght,3,0,3,False,,0.0,,
2023-01-07,HSE Dublin & North East,Connolly Hospital,2,0,2,False,46.0,8.0,,
2023-01-07,HSE Dublin & North East,Mater Misericordiae University Hospital,9,0,9,False,0.0,39.0,,
2023-01-07,HSE Dublin & North East,Our Lady of Lourdes Hospital,4,0,4,False,5.0,38.0,,
2023-01-07,HSE Dublin & North East,Our Lady's Hospital Navan,-16,17,1,False,0.0,4.0,,
2023-01-07,HSE Dublin & South East,Cork University Hospital,23,3,26,False,22.0,32.0,3.0,
2023-01-07,HSE Dublin & South East,Galway University Hospital,15,0,15,False,0.0,18.0,1.0,
2023-01-07,HSE Dublin & South East,Letterkenny University Hospital,11,6,17,False,8.0,21.0,4.0,
2023-01-07,HSE Dublin & South East,Mercy University Hospital,9,0,9,False,8.0,13.0,2.0,
2023-01-07,HSE Dublin & South East,UH Kerry,19,0,19,False,20.0,24.0,6.0,
2023-01-07,HSE Dublin & South East,UH Limerick,5,5,10,False,46.0,16.0,,
2023-01-07,HSE Dublin & South East,Wexford General Hospital,4,0,4,False,22.0,9.0,,
2023-01-07,HSE West & North West,Portiuncula University Hospital,-4,10,6,False,0.0,4.0,,
2023-01-07,HSE West & North West,Sligo University Hospital,8,11,19,False,8.0,12.0,4.0,
2023-01-07,National Total,National Total,206,62,268,True,317.0,476.0,42.0,
2023-01-08,HSE Dublin & Midlands,MRH Mullingar,9,0,9,False,12.0,1.0,1.0,
2023-01-08,HSE Dublin & Midlands,MRH Portlaoise,6,0,6,False,11.0,6.0,,
2023-01-08,HSE Dublin & Midlands,MRH Tullamore,0,0,0,False,8.0,6.0,,
2023-01-08,HSE Dublin & Midlands,Naas General Hospital,12,4,16,False,13.0,14.0,4.0,
2023-01-08,HSE Dublin & Midlands,St Luke's General Hospital Kilkenny,14,0,14,False,15.0,9.0,6.0,
2023-01-08,HSE Dublin & Midlands,St. James's Hospital,11,0,11,False,0.0,56.0,,
2023-01-08,HSE Dublin & Midlands,St. Vincent's University Hospital,30,0,30,False,0.0,53.0,8.0,
2023-01-08,HSE Dublin & Midlands,Tallaght University Hospital,19,0,19,False,0.0,31.0,,
2023-01-08,HSE Dublin & Midlands,Tipperary University Hospital,9,0,9,False,25.0,4.0,,
2023-01-08,HSE Dublin & North East,Cavan General Hospital,12,1,13,False,10.0,5.0,2.0,
