report_date,region,lag7_used,pred_region
2026-03-26,Dublin Midlands,15.0,13.826769709587097
2026-03-26,Dublin North East,14.0,12.75540006160736
2026-03-26,HSE Dublin & Midlands,31.0,32.228017926216125
2026-03-26,HSE Dublin & North East,33.0,30.893390893936157
2026-03-26,HSE South & South East,47.0,44.18515157699585
2026-03-26,HSE West & North West,60.0,63.463168144226074
2026-03-26,South / South-West,52.0,48.23180103302002
2026-03-26,West / North-West,15.0,16.66676914691925
2026-03-27,Dublin Midlands,24.0,22.826769709587097
2026-03-27,Dublin North East,12.0,10.75540006160736
2026-03-27,HSE Dublin & Midlands,43.0,44.228017926216125
2026-03-27,HSE Dublin & North East,27.0,24.893390893936157
2026-03-27,HSE South & South East,55.0,52.18515157699585
2026-03-27,HSE West & North West,58.0,61.463168144226074
2026-03-27,South / South-West,28.0,24.23180103302002
2026-03-27,West / North-West,14.0,15.66676914691925
2026-03-28,Dublin Midlands,6.0,4.826769709587097
2026-03-28,Dublin North East,7.0,5.755400061607361
2026-03-28,HSE Dublin & Midlands,26.0,27.228017926216125
2026-03-28,HSE Dublin & North East,18.0,15.893390893936157
2026-03-28,HSE South & South East,29.0,26.18515157699585
2026-03-28,HSE West & North West,36.0,39.463168144226074
2026-03-28,South / South-West,14.0,10.23180103302002
2026-03-28,West / North-West,3.0,4.6667691469192505
2026-03-29,Dublin Midlands,5.0,3.826769709587097
2026-03-29,Dublin North East,8.0,6.755400061607361
2026-03-29,HSE Dublin & Midlands,28.0,29.228017926216125
2026-03-29,HSE Dublin & North East,26.0,23.893390893936157
2026-03-29,HSE South & South East,34.0,31.18515157699585
2026-03-29,HSE West & North West,59.0,62.463168144226074
2026-03-29,South / South-West,33.0,29.23180103302002
2026-03-29,West / North-West,7.0,8.66676914691925
2026-03-30,Dublin Midlands,10.0,8.826769709587097
2026-03-30,Dublin North East,13.0,11.75540006160736
2026-03-30,HSE Dublin & Midlands,70.0,71.22801792621613
2026-03-30,HSE Dublin & North East,51.0,48.89339089393616
2026-03-30,HSE South & South East,51.0,48.18515157699585
2026-03-30,HSE West & North West,90.0,93.46316814422607
2026-03-30,South / South-West,39.0,35.23180103302002
2026-03-30,West / North-West,22.0,23.66676914691925
2026-03-31,Dublin Midlands,29.0,27.826769709587097
2026-03-31,Dublin North East,14.0,12.75540006160736
2026-03-31,HSE Dublin & Midlands,44.0,45.228017926216125
2026-03-31,HSE Dublin & North East,68.0,65.89339089393616
2026-03-31,HSE South & South East,47.0,44.18515157699585
2026-03-31,HSE West & North West,108.0,111.46316814422607
2026-03-31,South / South-West,44.0,40.23180103302002
2026-03-31,West / North-West,25.0,26.66676914691925
2026-04-01,Dublin Midlands,17.0,15.826769709587097
2026-04-01,Dublin North East,12.0,10.75540006160736
2026-04-01,HSE Dublin & Midlands,63.0,64.22801792621613
2026-04-01,HSE Dublin & North East,72.0,69.89339089393616
2026-04-01,HSE South & South East,69.0,66.18515157699585
2026-04-01,HSE West & North West,105.0,108.46316814422607
2026-04-01,South / South-West,48.0,44.23180103302002
2026-04-01,West / North-West,32.0,33.66676914691925
2026-04-02,Dublin Midlands,17.0,15.826769709587097
