report_date,city,tavg,tmin,tmax,prcp,rhum,wspd
2023-01-01,Cork,5.2,3.5,7.7,2.8,,15.4
2023-01-01,Dublin,4.7,1.8,6.4,0.7,,10.6
2023-01-01,Limerick,4.7,1.7,7.1,4.1,,7.5
2023-01-02,Cork,4.7,2.2,8.2,2.8,,15.0
2023-01-02,Dublin,3.0,1.8,10.2,1.1,,12.0
2023-01-02,Limerick,2.5,-0.6,8.3,0.0,,12.6
2023-01-03,Cork,10.6,8.5,11.7,15.3,,32.7
2023-01-03,Dublin,10.7,0.2,13.4,0.9,,22.8
2023-01-03,Limerick,10.8,3.7,12.9,5.1,,27.3
2023-01-04,Cork,10.3,9.0,11.5,0.2,,25.2
2023-01-04,Dublin,10.8,9.7,11.7,0.5,,25.8
2023-01-04,Limerick,10.8,9.5,11.9,0.8,,29.1
2023-01-05,Cork,9.2,4.7,11.0,4.4,,24.6
2023-01-05,Dublin,9.9,8.6,12.9,3.2,,18.4
2023-01-05,Limerick,9.8,7.9,12.0,1.8,,23.0
2023-01-06,Cork,7.9,4.5,10.0,11.1,,20.6
2023-01-06,Dublin,8.2,5.7,11.7,4.0,,18.6
2023-01-06,Limerick,8.2,5.8,10.6,0.5,,19.8
2023-01-07,Cork,6.7,4.5,8.0,3.0,,27.0
2023-01-07,Dublin,7.9,5.5,9.3,1.0,,22.2
2023-01-07,Limerick,7.2,5.2,9.0,6.1,,26.1
2023-01-08,Cork,4.8,2.1,6.2,1.4,,20.8
2023-01-08,Dublin,6.2,5.3,7.6,0.9,,21.3
2023-01-08,Limerick,6.2,4.2,7.6,2.3,,24.1
2023-01-09,Cork,4.7,3.0,6.5,0.4,,23.1
2023-01-09,Dublin,5.4,3.8,12.4,5.8,,23.9
2023-01-09,Limerick,6.5,5.7,7.8,2.8,,24.6
2023-01-10,Cork,9.1,5.2,11.6,18.2,,35.6
2023-01-10,Dublin,9.3,3.9,13.8,2.9,,26.2
2023-01-10,Limerick,9.3,5.5,13.1,21.1,,26.9
2023-01-11,Cork,7.6,4.5,11.1,17.1,,33.3
2023-01-11,Dublin,6.8,5.6,11.9,5.9,,24.0
2023-01-11,Limerick,8.1,6.5,11.5,13.0,,36.0
2023-01-12,Cork,8.0,5.7,11.1,7.0,,35.1
2023-01-12,Dublin,9.1,5.6,10.0,3.2,,30.6
2023-01-12,Limerick,9.0,6.5,10.6,10.9,,41.7
2023-01-13,Cork,7.0,4.7,10.0,9.0,,23.7
2023-01-13,Dublin,7.2,5.7,9.8,6.9,,27.0
2023-01-13,Limerick,8.1,6.0,9.1,4.1,,22.4
2023-01-14,Cork,5.1,1.6,10.0,5.3,,24.0
2023-01-14,Dublin,5.8,5.4,7.0,2.5,,24.6
2023-01-14,Limerick,5.8,2.6,9.0,11.9,,24.3
2023-01-15,Cork,3.7,2.1,6.5,0.9,,19.5
2023-01-15,Dublin,3.6,2.2,5.4,0.1,,18.6
2023-01-15,Limerick,4.8,1.0,7.5,5.1,,16.7
2023-01-16,Cork,1.5,0.0,3.0,0.5,,14.0
2023-01-16,Dublin,0.3,-1.7,2.6,0.0,,16.4
2023-01-16,Limerick,1.2,-0.8,3.7,0.0,,6.3
2023-01-17,Cork,-0.0,-2.2,3.1,0.0,,17.1
2023-01-17,Dublin,-1.2,-3.9,2.0,0.0,,21.0
2023-01-17,Limerick,-0.1,-3.3,4.2,0.0,,10.6
2023-01-18,Cork,1.9,0.0,5.0,0.0,,21.8
2023-01-18,Dublin,1.2,-3.6,4.0,0.0,,25.8
2023-01-18,Limerick,3.1,0.6,6.0,2.0,,12.8
2023-01-19,Cork,2.3,0.5,5.5,1.1,,8.7
2023-01-19,Dublin,0.9,-1.3,4.0,0.0,,15.5
2023-01-19,Limerick,1.8,-1.1,5.6,0.0,,5.7
2023-01-20,Cork,4.9,1.2,7.5,1.8,,12.9
2023-01-20,Dublin,2.0,-3.4,8.0,0.0,,11.4
2023-01-20,Limerick,3.8,-0.9,6.9,0.8,,14.7
2023-01-21,Cork,8.4,7.5,9.0,2.3,,20.1
2023-01-21,Dublin,6.7,-3.0,9.6,0.1,,16.7
2023-01-21,Limerick,8.9,6.0,10.9,0.0,,16.5
2023-01-22,Cork,9.0,8.6,9.5,1.8,,16.7
2023-01-22,Dublin,9.2,5.9,11.5,0.1,,10.8
2023-01-22,Limerick,10.2,8.4,11.7,1.0,,12.0
2023-01-23,Cork,6.8,5.0,8.5,0.0,,5.2
2023-01-23,Dublin,9.4,7.8,12.2,0.4,,6.9
2023-01-23,Limerick,7.6,5.3,8.9,0.3,,8.2
2023-01-24,Cork,7.6,6.2,9.0,0.3,,7.5
2023-01-24,Dublin,8.8,4.7,11.5,0.5,,10.6
2023-01-24,Limerick,7.8,6.4,9.3,0.3,,8.4
2023-01-25,Cork,7.6,4.2,10.2,0.1,,14.0
2023-01-25,Dublin,7.7,5.0,10.1,0.5,,17.0
2023-01-25,Limerick,7.9,3.4,9.9,0.5,,11.7
2023-01-26,Cork,5.1,3.2,7.0,0.0,,14.7
2023-01-26,Dublin,5.1,2.2,8.2,0.0,,15.6
2023-01-26,Limerick,5.9,3.2,8.3,0.0,,9.9
2023-01-27,Cork,4.2,2.5,6.1,0.0,,10.7
2023-01-27,Dublin,3.2,1.5,7.5,0.0,,9.8
2023-01-27,Limerick,5.4,2.8,7.3,0.0,,5.1
2023-01-28,Cork,6.0,2.8,9.2,0.0,,9.1
2023-01-28,Dublin,5.1,0.5,7.3,0.6,,12.5
2023-01-28,Limerick,5.0,2.2,7.7,0.3,,7.9
2023-01-29,Cork,7.2,3.7,10.7,0.0,,13.7
2023-01-29,Dublin,6.7,4.2,10.2,0.2,,19.2
2023-01-29,Limerick,7.6,3.7,11.0,0.3,,17.4
2023-01-30,Cork,7.0,5.6,8.8,0.0,,15.2
2023-01-30,Dublin,6.6,3.8,8.9,0.2,,18.4
2023-01-30,Limerick,8.1,6.9,9.3,0.3,,14.1
2023-01-31,Cork,7.6,6.2,9.5,0.0,,20.0
2023-01-31,Dublin,7.3,5.3,8.9,0.0,,28.6
2023-01-31,Limerick,8.4,7.1,9.7,0.8,,23.0
2023-02-01,Cork,6.7,4.0,9.4,0.0,,18.3
2023-02-01,Dublin,7.8,5.7,10.3,0.1,,23.9
2023-02-01,Limerick,8.8,7.0,9.7,0.5,,24.0
2023-02-02,Cork,9.0,8.0,10.5,0.0,,21.4
2023-02-02,Dublin,9.5,7.3,10.5,0.2,,22.7
2023-02-02,Limerick,9.7,8.1,10.7,0.5,,24.2
2023-02-03,Cork,8.6,7.7,9.8,0.2,,18.8
2023-02-03,Dublin,10.1,9.0,12.3,0.0,,17.5
2023-02-03,Limerick,10.1,8.5,11.6,0.0,,15.4
2023-02-04,Cork,8.1,4.1,11.2,0.3,,17.9
2023-02-04,Dublin,7.8,7.2,11.5,1.0,,15.9
2023-02-04,Limerick,7.9,1.5,11.0,1.0,,13.9
2023-02-05,Cork,5.3,1.5,8.2,0.0,,13.0
2023-02-05,Dublin,2.0,-2.4,9.4,0.0,,8.3
2023-02-05,Limerick,4.1,-0.6,9.1,0.0,,12.3
2023-02-06,Cork,7.6,6.1,9.1,0.4,,15.5
2023-02-06,Dublin,4.9,-1.2,10.4,0.0,,10.6
2023-02-06,Limerick,8.5,6.0,10.1,0.0,,20.2
2023-02-07,Cork,6.2,4.0,9.0,0.0,,8.2
2023-02-07,Dublin,7.5,3.6,10.5,0.0,,10.0
2023-02-07,Limerick,8.3,6.3,11.5,0.0,,9.0
2023-02-08,Cork,6.2,3.1,8.2,0.6,,18.0
2023-02-08,Dublin,6.5,2.4,9.9,0.4,,15.8
2023-02-08,Limerick,7.2,4.6,9.9,0.0,,17.2
2023-02-09,Cork,4.2,2.0,7.7,0.0,,12.0
2023-02-09,Dublin,4.6,1.1,9.0,0.0,,14.6
2023-02-09,Limerick,5.2,2.3,8.5,2.0,,9.5
2023-02-10,Cork,7.4,3.1,10.1,0.0,,12.3
2023-02-10,Dublin,8.1,2.6,12.0,0.1,,18.8
2023-02-10,Limerick,8.3,3.7,10.2,0.5,,13.8
2023-02-11,Cork,7.9,7.0,9.0,0.0,,11.4
2023-02-11,Dublin,8.8,7.8,11.2,0.0,,9.2
2023-02-11,Limerick,8.7,8.0,9.9,0.0,,12.2
2023-02-12,Cork,7.9,7.5,8.7,0.0,,21.5
2023-02-12,Dublin,8.2,7.4,11.5,0.0,,14.7
2023-02-12,Limerick,8.7,7.6,10.2,0.0,,16.2
2023-02-13,Cork,8.2,7.0,9.5,0.0,,23.5
2023-02-13,Dublin,7.2,0.5,12.4,0.0,,17.7
2023-02-13,Limerick,9.4,7.5,12.1,0.0,,23.6
2023-02-14,Cork,9.8,8.7,11.0,2.7,,27.1
2023-02-14,Dublin,9.8,1.7,15.9,2.6,,19.0
2023-02-14,Limerick,11.3,8.5,14.1,0.0,,26.2
2023-02-15,Cork,8.1,5.0,10.1,10.0,,22.2
2023-02-15,Dublin,8.5,5.5,10.5,3.2,,16.8
2023-02-15,Limerick,8.7,5.7,11.4,6.6,,20.4
2023-02-16,Cork,10.6,8.1,12.5,0.0,,18.4
2023-02-16,Dublin,10.3,6.0,13.4,0.2,,19.0
2023-02-16,Limerick,10.2,7.6,12.6,2.3,,21.3
2023-02-17,Cork,11.2,10.0,12.7,0.0,,25.3
2023-02-17,Dublin,11.4,8.9,13.3,1.1,,23.4
2023-02-17,Limerick,11.3,10.8,11.9,2.5,,24.6
2023-02-18,Cork,10.3,7.7,12.0,0.0,,22.5
2023-02-18,Dublin,10.3,9.8,11.9,0.1,,27.4
2023-02-18,Limerick,10.6,8.4,11.7,2.8,,27.2
2023-02-19,Cork,8.3,4.5,11.2,0.0,,17.6
2023-02-19,Dublin,9.5,7.2,12.3,0.0,,20.1
2023-02-19,Limerick,9.8,8.0,12.0,0.0,,17.6
2023-02-20,Cork,9.6,8.1,12.2,0.2,,20.2
