report_date,hospital,region,lag7_used,pred_hosp
2025-11-04,CHI at Tallaght,Dublin Midlands,0.0,1.5057107120870636
2025-11-04,CHI at Temple Street,HSE Dublin & North East,1.0,0.0
2025-11-04,Cavan General Hospital,HSE Dublin & North East,9.0,5.950723977939383
2025-11-04,Connolly Hospital,Dublin North East,2.0,3.54229183511939
2025-11-04,Cork University Hospital,South / South-West,21.0,6.556454419748315
2025-11-04,Letterkenny University Hospital,West / North-West,14.0,7.636997085097272
2025-11-04,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-04,MRH Mullingar,HSE Dublin & Midlands,6.0,3.215695273159168
2025-11-04,MRH Portlaoise,HSE Dublin & Midlands,6.0,3.8058662894581627
2025-11-04,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-04,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-04,Mater Misericordiae University Hospital,Dublin North East,9.0,2.7123484763795664
2025-11-04,Mayo University Hospital,HSE West & North West,22.0,15.47149327134547
2025-11-04,Mercy University Hospital,HSE South & South East,14.0,5.405520466149307
2025-11-04,Naas General Hospital,Dublin Midlands,3.0,0.0
2025-11-04,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-04,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-04,Our Lady of Lourdes Hospital,HSE Dublin & North East,5.0,0.0
2025-11-04,Our Lady's Hospital Navan,HSE Dublin & North East,0.0,0.0
2025-11-04,Portiuncula University Hospital,HSE West & North West,18.0,16.253176656288808
2025-11-04,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-04,Sligo University Hospital,HSE West & North West,8.0,0.0
2025-11-04,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-04,St Luke's General Hospital Kilkenny,HSE South & South East,6.0,3.2160754318025226
2025-11-04,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-04,St. James's Hospital,HSE Dublin & Midlands,12.0,2.9657760071935986
2025-11-04,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-04,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-04,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-04,St. Vincent's University Hospital,HSE Dublin & North East,14.0,1.0417051588343789
2025-11-04,Tallaght University Hospital,HSE Dublin & Midlands,0.0,0.0
2025-11-04,Tipperary University Hospital,HSE South & South East,8.0,4.368788429796116
2025-11-04,UH Kerry,HSE South & South East,9.0,0.3039901494479036
2025-11-04,UH Limerick,HSE West & North West,30.0,7.465932287521603
2025-11-04,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-04,Wexford General Hospital,HSE South & South East,11.0,7.473600065767467
2025-11-05,CHI at Tallaght,Dublin Midlands,0.0,1.5057107120870636
2025-11-05,CHI at Temple Street,HSE Dublin & North East,4.0,2.325315583339371
2025-11-05,Cavan General Hospital,HSE Dublin & North East,10.0,6.950723977939383
2025-11-05,Connolly Hospital,Dublin North East,0.0,1.5422918351193902
2025-11-05,Cork University Hospital,South / South-West,31.0,16.556454419748313
2025-11-05,Letterkenny University Hospital,West / North-West,12.0,5.636997085097272
2025-11-05,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-05,MRH Mullingar,HSE Dublin & Midlands,12.0,9.215695273159168
2025-11-05,MRH Portlaoise,HSE Dublin & Midlands,7.0,4.805866289458162
2025-11-05,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-05,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-05,Mater Misericordiae University Hospital,Dublin North East,8.0,1.7123484763795664
2025-11-05,Mayo University Hospital,HSE West & North West,17.0,10.47149327134547
2025-11-05,Mercy University Hospital,HSE South & South East,11.0,2.405520466149307
2025-11-05,Naas General Hospital,Dublin Midlands,1.0,0.0
2025-11-05,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-05,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-05,Our Lady of Lourdes Hospital,HSE Dublin & North East,0.0,0.0
2025-11-05,Our Lady's Hospital Navan,HSE Dublin & North East,0.0,0.0
2025-11-05,Portiuncula University Hospital,HSE West & North West,2.0,0.2531766562888089
2025-11-05,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-05,Sligo University Hospital,HSE West & North West,25.0,16.87653792428074
2025-11-05,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-05,St Luke's General Hospital Kilkenny,HSE South & South East,11.0,8.216075431802523
2025-11-05,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-05,St. James's Hospital,HSE Dublin & Midlands,14.0,4.965776007193599
2025-11-05,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-05,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-05,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-05,St. Vincent's University Hospital,HSE Dublin & North East,20.0,7.041705158834379
2025-11-05,Tallaght University Hospital,HSE Dublin & Midlands,6.0,0.0
2025-11-05,Tipperary University Hospital,HSE South & South East,5.0,1.3687884297961164
2025-11-05,UH Kerry,HSE South & South East,26.0,17.303990149447905
2025-11-05,UH Limerick,HSE West & North West,31.0,8.465932287521603
2025-11-05,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-05,Wexford General Hospital,HSE South & South East,17.0,13.473600065767467
2025-11-06,CHI at Tallaght,Dublin Midlands,2.0,3.5057107120870636
2025-11-06,CHI at Temple Street,HSE Dublin & North East,0.0,0.0
2025-11-06,Cavan General Hospital,HSE Dublin & North East,12.0,8.950723977939383
2025-11-06,Connolly Hospital,Dublin North East,0.0,1.5422918351193902
2025-11-06,Cork University Hospital,South / South-West,46.0,31.556454419748313
2025-11-06,Letterkenny University Hospital,West / North-West,13.0,6.636997085097272
2025-11-06,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-06,MRH Mullingar,HSE Dublin & Midlands,21.0,18.215695273159167
2025-11-06,MRH Portlaoise,HSE Dublin & Midlands,7.0,4.805866289458162
2025-11-06,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-06,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-06,Mater Misericordiae University Hospital,Dublin North East,9.0,2.7123484763795664
2025-11-06,Mayo University Hospital,HSE West & North West,21.0,14.47149327134547
2025-11-06,Mercy University Hospital,HSE South & South East,15.0,6.405520466149307
