report_date,region,lag7_used,pred_region
2025-11-04,Dublin Midlands,3.0,0.5755431652069092
2025-11-04,Dublin North East,11.0,8.590623378753662
2025-11-04,HSE Dublin & Midlands,24.0,20.82655119895935
2025-11-04,HSE Dublin & North East,29.0,26.00692367553711
2025-11-04,HSE South & South East,48.0,52.38284921646118
2025-11-04,HSE West & North West,78.0,84.54207277297974
2025-11-04,South / South-West,21.0,24.41007351875305
2025-11-04,West / North-West,14.0,18.93350648880005
2025-11-05,Dublin Midlands,1.0,0.0
2025-11-05,Dublin North East,8.0,5.590623378753662
2025-11-05,HSE Dublin & Midlands,39.0,35.82655119895935
2025-11-05,HSE Dublin & North East,34.0,31.00692367553711
2025-11-05,HSE South & South East,70.0,74.38284921646118
2025-11-05,HSE West & North West,75.0,81.54207277297974
2025-11-05,South / South-West,31.0,34.41007351875305
2025-11-05,West / North-West,12.0,16.93350648880005
2025-11-06,Dublin Midlands,2.0,0.0
2025-11-06,Dublin North East,9.0,6.590623378753662
2025-11-06,HSE Dublin & Midlands,44.0,40.82655119895935
2025-11-06,HSE Dublin & North East,48.0,45.00692367553711
2025-11-06,HSE South & South East,68.0,72.38284921646118
2025-11-06,HSE West & North West,59.0,65.54207277297974
2025-11-06,South / South-West,46.0,49.41007351875305
2025-11-06,West / North-West,13.0,17.93350648880005
2025-11-07,Dublin Midlands,4.0,1.5755431652069092
2025-11-07,Dublin North East,4.0,1.590623378753662
2025-11-07,HSE Dublin & Midlands,54.0,50.82655119895935
2025-11-07,HSE Dublin & North East,29.0,26.00692367553711
2025-11-07,HSE South & South East,53.0,57.38284921646118
2025-11-07,HSE West & North West,58.0,64.54207277297974
2025-11-07,South / South-West,35.0,38.41007351875305
2025-11-07,West / North-West,11.0,15.933506488800049
2025-11-08,Dublin Midlands,5.0,2.575543165206909
2025-11-08,Dublin North East,1.0,0.0
2025-11-08,HSE Dublin & Midlands,15.0,11.82655119895935
2025-11-08,HSE Dublin & North East,5.0,2.0069236755371094
2025-11-08,HSE South & South East,31.0,35.38284921646118
2025-11-08,HSE West & North West,28.0,34.542072772979736
2025-11-08,South / South-West,29.0,32.41007351875305
2025-11-08,West / North-West,5.0,9.933506488800049
2025-11-09,Dublin Midlands,10.0,7.575543165206909
2025-11-09,Dublin North East,0.0,0.0
2025-11-09,HSE Dublin & Midlands,25.0,21.82655119895935
2025-11-09,HSE Dublin & North East,28.0,25.00692367553711
2025-11-09,HSE South & South East,44.0,48.38284921646118
2025-11-09,HSE West & North West,32.0,38.542072772979736
2025-11-09,South / South-West,14.0,17.41007351875305
2025-11-09,West / North-West,9.0,13.933506488800049
2025-11-10,Dublin Midlands,9.0,6.575543165206909
2025-11-10,Dublin North East,8.0,5.590623378753662
2025-11-10,HSE Dublin & Midlands,37.0,33.82655119895935
2025-11-10,HSE Dublin & North East,57.0,54.00692367553711
2025-11-10,HSE South & South East,78.0,82.38284921646118
